;Restaurant;Avis;type_cuisine;fourchette_prix;link;type_cuisine_1;type_cuisine_2;restaurants;note;localisation;lat;lon
147;175. Il Meneghino Bordeaux;172 avis;Italienne, Cuisine de rue (street food);€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10392080-Reviews-Il_Meneghino_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Cuisine de rue (street food);175. Il Meneghino Bordeaux;4.5;[44.8348931, -0.573501];44.8348931;-0.573501
148;176. Restaurant Le Bourgailh Pessac;253 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g196515-d2692978-Reviews-Le_Bourgailh-Pessac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;176. Restaurant Le Bourgailh Pessac;4.5;[44.7996298, -0.6631833];44.7996298;-0.6631833
149;177. Atelier Des Faures;56 avis;Française, Internationale;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d23699419-Reviews-Atelier_Des_Faures-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Internationale;177. Atelier Des Faures;5.0;[44.8369245, -0.579698];44.8369245;-0.579698
150;178. Brasserie du Marché;411 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1025699-Reviews-Brasserie_du_Marche-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;178. Brasserie du Marché;4.5;[44.8299498, -0.5676539];44.8299498;-0.5676539
151;179. Le Bistrô;221 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d7166029-Reviews-Le_Bistro-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;179. Le Bistrô;4.5;[44.8272891, -0.6643808];44.8272891;-0.6643808
152;180. Octavie's by Najat Bordeaux;58 avis;Café, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17338300-Reviews-Octavie_s_by_Najat-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Café; Saine;180. Octavie's by Najat Bordeaux;5.0;[44.842156, -0.5811973912580647];44.842156;-0.5811973912580647
153;181. Elio's Ristorante Bordeaux;661 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d968221-Reviews-Elio_s_Ristorante-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Méditerranéenne;181. Elio's Ristorante Bordeaux;4.0;[44.8421595, -0.5722407];44.8421595;-0.5722407
154;182. Le Risotto Restaurant Italien;757 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d1027288-Reviews-Le_Risotto_Restaurant_Italien-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Méditerranéenne;182. Le Risotto Restaurant Italien;4.0;[44.8344028, -0.6369849];44.8344028;-0.6369849
155;183. Casa Gaïa Bordeaux;184 avis;Italienne, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15242705-Reviews-Casa_Gaia-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Européenne;183. Casa Gaïa Bordeaux;4.5;[44.8505587, -0.5711427];44.8505587;-0.5711427
156;184. La Belle Epoque;202 avis;Française, Européenne;€;https://www.tripadvisor.fr/Restaurant_Review-g644083-d3605626-Reviews-La_Belle_Epoque-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;184. La Belle Epoque;4.5;[44.8696549, -0.515756];44.8696549;-0.515756
157;185. Cabaret Le Diamant Rose Bordeaux;73 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7799875-Reviews-Cabaret_Le_Diamant_Rose-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;185. Cabaret Le Diamant Rose Bordeaux;5.0;[44.8590587, -0.5753644];44.8590587;-0.5753644
